Rank,Year,Title,Artist,Spotify_ID
50,2016,We Don't Talk Anymore,Charlie PuthFeaturingSelena Gomez,
51,2016,Into You,Ariana Grande,63y6xWR4gXz7bnUGOk8iI6
52,2016,Gold,Kiiara,7yNX3ZFBWZoR52pbeU4Mcl
53,2016,Exchange,Bryson Tiller,43PuMrRfbyyuz4QpZ3oAwN
54,2016,679,Fetty WapFeaturingRemy Boyz,
55,2016,Oui,Jeremih,0PJIbOdMs3bd5AT8liULMQ
56,2016,Hands To Myself,Selena Gomez,1LoriJC05IrHIDwj3q0KC1
57,2016,2 Phones,Kevin Gates,0wdKiSBUT7aZkXUIdJWcwC
58,2016,Starboy,The WeekndFeaturingDaft Punk,
59,2016,For Free,DJ KhaledFeaturingDrake,
60,2016,Never Be Like You,FlumeFeaturing Kai,
61,2016,In The Night,The Weeknd,25KybV9BOUlvcnv7nN3Pyo
62,2016,Me Too,Meghan Trainor,3KwwE4sgCzMaKWq6QBebmX
63,2016,Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH
64,2016,Die A Happy Man,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n
65,2016,White Iverson,Post Malone,6eT7xZZlB2mwyzJ2sUKG6w
66,2016,Close,Nick JonasFeaturingTove Lo,
67,2016,Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I
68,2016,Sucker For Pain,"Lil Wayne,Wiz Khalifa&Imagine DragonsWithLogic&Ty Dolla $ignFeat.X Ambassadors",4dASQiO1Eoo3RJvt74FtXB
69,2016,Down In The DM,Yo GottiFeaturingNicki Minaj,
70,2016,Luv,Tory Lanez,16Ah4QqH4mgYVXqfC4mdSd
71,2016,Sorry,Beyonce,0lnIJmgcUpEpe4AZACjayW
72,2016,Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81
73,2016,Hymn For The Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy
74,2016,Say It,Tory Lanez,2Gyc6e2cLxA5hoX1NOvYnU
75,2016,Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq
76,2016,Lost Boy,Ruth B,0zMzyHAeMvwq5CRstru1Fp
77,2016,Side To Side,Ariana GrandeFeaturingNicki Minaj,
78,2016,"Sit Still, Look Pretty",Daya,6w2rrJsn8Qpa7veSaVAyKh
79,2016,Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw
80,2016,Middle,DJ SnakeFeaturingBipolar Sunshine,
81,2016,On My Mind,Ellie Goulding,5a7NdkF09AfD0H607eiOkX
82,2016,Pop Style,DrakeFeaturing The Throne,
83,2016,When We Were Young,Adele,7GgWAITsYJaRM3r50rfh5w
84,2016,Hide Away,Daya,3WALaE7UdNXx8VJ4lpWCK8
85,2016,Lean On,Major LazerXDJ SnakeFeaturingMo,
86,2016,I Know What You Did Last Summer,Shawn Mendes&Camila Cabello,2GyA33q5rti5IxkMQemRDH
88,2016,Watch Me,Silento,5RIVoVdkDLEygELLCniZFr
89,2016,Back To Sleep,Chris Brown,6dlpABcXrQKRU9G00i6Zba
90,2016,No Limit,UsherFeaturingYoung Thug,
91,2016,Cut It,O.T. GenasisFeaturingYoung Dolph,
92,2016,Really Really,Kevin Gates,10I3CmmwT0BkOVhduDy53o
93,2016,All In My Head (Flex),Fifth HarmonyFeaturingFetty Wap,
94,2016,Starving,Hailee Steinfeld&GreyFeaturingZedd,
95,2016,Adventure Of A Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M
96,2016,Humble And Kind,Tim McGraw,4Pn0JlCUusD2QHjADuOzuV
97,2016,Wicked,Future,6BbINUfGabVyiNFJpQXn3x
98,2016,Tiimmy Turner,Desiigner,3NJG6vMH1ZsectZkocMEm0
99,2016,See You Again,Wiz KhalifaFeaturingCharlie Puth,
100,2016,Perfect,One Direction,3NLnwwAQbbFKcEcV8hDItk
1,2017,Shape Of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
2,2017,Despacito,Luis Fonsi&Daddy YankeeFeaturingJustin Bieber,
3,2017,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU
4,2017,Humble.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS
5,2017,Something Just Like This,The Chainsmokers&Coldplay,6RUKPb4LETWmmr3iAEQktW
6,2017,Bad And Boujee,MigosFeaturingLil Uzi Vert,
7,2017,Closer,The ChainsmokersFeaturingHalsey,
8,2017,Body Like A Back Road,Sam Hunt,7FpBQ067pHB67deawpbbcY
9,2017,Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP
10,2017,Congratulations,Post MaloneFeaturingQuavo,
11,2017,Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh
12,2017,I'm The One,"DJ KhaledFeaturingJustin Bieber,Quavo,Chance the Rapper&Lil Wayne",
13,2017,XO TOUR Llif3,Lil Uzi Vert,7GX5flRQZVHRAGd6B4TmDO
14,2017,Mask Off,Future,0VgkVdmE4gld66l8iyGjgx
15,2017,Unforgettable,French MontanaFeaturingSwae Lee,
16,2017,24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P
17,2017,Stay,Zedd&Alessia Cara,6uBhi9gBXWjanegOb2Phh0
18,2017,Wild Thoughts,DJ KhaledFeaturingRihanna&Bryson Tiller,
19,2017,Black Beatles,Rae SremmurdFeaturingGucci Mane,
20,2017,Starboy,The WeekndFeaturingDaft Punk,
21,2017,Location,Khalid,152lZdxL1OR0ZMW6KquMif
22,2017,Attention,Charlie Puth,5cF0dROlMOK5uNZtivgu50
23,2017,There's Nothing Holdin' Me Back,Shawn Mendes,7JJmb5XwzOO8jgpou264Ml
24,2017,Bodak Yellow (Money Moves),Cardi B,
25,2017,Redbone,Childish Gambino,3vQ4T78TTMOjQXGfXVKQJo
26,2017,I Don't Wanna Live Forever (Fifty Shades Darker),ZAYN/Taylor Swift,55n9yjI6qqXh5F2mYvUc2y
27,2017,It Ain't Me,KygoxSelena Gomez,
28,2017,iSpy,KyleFeaturingLil Yachty,
29,2017,Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0
30,2017,Scars To Your Beautiful,Alessia Cara,0wI7QkCcs8FUQE1OkXUIqd
31,2017,1-800-273-8255,LogicFeaturingAlessia Cara&Khalid,
32,2017,Slow Hands,Niall Horan,2cOUlop2ZakjOKe4WinesN
33,2017,Love On The Brain,Rihanna,5oO3drDxtziYU2H1X23ZIp
34,2017,I Feel It Coming,The WeekndFeaturingDaft Punk,
35,2017,Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF
36,2017,Strip That Down,Liam PayneFeaturingQuavo,
37,2017,Fake Love,Drake,343YBumqHu19cGoGARUTsd
38,2017,Don't Wanna Know,Maroon 5FeaturingKendrick Lamar,
39,2017,Look What You Made Me Do,Taylor Swift,1P17dC1amhFzptugyAO7Il
40,2017,Castle On The Hill,Ed Sheeran,6PCUP3dWmTjcTtXY02oFdT
41,2017,Bad Things,Machine Gun Kelly xCamila Cabello,
42,2017,Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG
43,2017,Side To Side,Ariana GrandeFeaturingNicki Minaj,
44,2017,Rockabye,Clean BanditFeaturingSean Paul&Anne-Marie,
45,2017,Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK
46,2017,Let Me Love You,DJ SnakeFeaturingJustin Bieber,
47,2017,Sorry Not Sorry,Demi Lovato,0yvPEnB032fojLfVluFjUv
48,2017,Bank Account,21 Savage,5eqK0tbzUPo2SoeZsov04s
49,2017,Can't Stop The Feeling!,Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI
50,2017,Mi Gente,J Balvin&Willy WilliamFeaturing Beyonce,
51,2017,Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB
52,2017,T-Shirt,Migos,1rkfJLgTlB6XYNjgZ0sVaK
53,2017,Rake It Up,Yo GottiFeaturingNicki Minaj,
54,2017,Mercy,Shawn Mendes,0AS63m1wHv9n4VVRizK6Hc
55,2017,Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4
56,2017,Rockstar,Post MaloneFeaturing21 Savage,
57,2017,In Case You Didn't Know,Brett Young,10M2Ex445zw585Ducldzkw
58,2017,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr
59,2017,Now Or Never,Halsey,126oeltvIg79HHP4yAi4rq
60,2017,Caroline,Amine,5hTpBe8h35rJ67eAWHQsJx
61,2017,Rolex,Ayo & Teo,0pSBuHjILhNEo55xK1zrRt
62,2017,DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj
63,2017,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,1lItf5ZXJc1by9SbPeljFd
64,2017,Swang,Rae Sremmurd,6mapJIPnQ23RTAevUoE0DL
65,2017,Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz
66,2017,Loyalty.,Kendrick LamarFeaturingRihanna,
67,2017,Praying,Kesha,0jdny0dhgjUwoIp5GkqEaA
68,2017,Goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2
69,2017,Cold,Maroon 5FeaturingFuture,
70,2017,Broccoli,D.R.A.M. FeaturingLil Yachty,
71,2017,Slide,Calvin HarrisFeaturingFrank Ocean&Migos,
72,2017,What Ifs,Kane BrownFeaturingLauren Alaina,
73,2017,Chained To The Rhythm,Katy PerryFeaturingSkip Marley,
74,2017,Feels,"Calvin HarrisFeaturingPharrell Williams,Katy Perry&Big Sean",
75,2017,All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi
76,2017,Hurricane,Luke Combs,6xHI9KjUjYT0FPtGO8Mxa1
77,2017,Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV
78,2017,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY
79,2017,Magnolia,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl
80,2017,Love Galore,SZAFeaturingTravis Scott,
81,2017,Drowning,A Boogie wit da HoodieFeaturingKodak Black,
82,2017,Starving,Hailee Steinfeld&GreyFeaturingZedd,
83,2017,Both,Gucci ManeFeaturingDrake,
84,2017,What About Us,P!nk,0Qh38w01QRXK6KHIv0e3hb
85,2017,Swalla,Jason DeruloFeaturingNicki Minaj&Ty Dolla $ign,
86,2017,Slippery,MigosFeaturingGucci Mane,
87,2017,Sign Of The Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN
88,2017,Water Under The Bridge,Adele,4jL6WWKFDqCOPo2hC3VhSS
89,2017,Malibu,Miley Cyrus,1UZOjK1BwmwWU14Erba9CZ
90,2017,Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd
91,2017,No Promises,Cheat CodesFeaturingDemi Lovato,
92,2017,Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd
93,2017,I Get The Bag,Gucci ManeFeaturingMigos,
94,2017,Small Town Boy,Dustin Lynch,7mS200vKsSSVgrbMxWza54
95,2017,Everyday We Lit,Yfn LucciFeaturingPnB Rock,
96,2017,Havana,Camila CabelloFeaturingYoung Thug,
97,2017,What Lovers Do,Maroon 5FeaturingSZA,
98,2017,Do Re Mi,Blackbear,6Se3x9ANMLv0dCDsjGmEjh
99,2017,Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18
100,2017,The Fighter,Keith UrbanFeaturingCarrie Underwood,
1,2018,God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn
2,2018,Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v
3,2018,Meant To Be,Bebe Rexha&Florida Georgia Line,7iDa6hUg2VgEL1o1HjmfBn
4,2018,Havana,Camila CabelloFeaturingYoung Thug,
5,2018,Rockstar,Post MaloneFeaturing21 Savage,
6,2018,Psycho,Post MaloneFeaturingTy Dolla $ign,
7,2018,I Like It,"Cardi B,Bad Bunny&J Balvin",58q2HKrzhC3ozto2nDdN4z
8,2018,The Middle,"Zedd,Maren Morris&Grey",09IStsImFySgyp0pIQdqAc
9,2018,In My Feelings,Drake,2G7V7zsVDxg1yRsu7Ew9RJ
10,2018,Girls Like You,Maroon 5FeaturingCardi B,
11,2018,Nice For What,Drake,3CA9pLiwRIGtUBiMjbZmRw
12,2018,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR
13,2018,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK
14,2018,Finesse,Bruno Mars&Cardi B,3Vo4wInECJQuz9BIBMOu8i
15,2018,Boo'd Up,Ella Mai,0At2qAoaVjIwWNAqrscXli
16,2018,New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0
17,2018,Sad!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2
18,2018,Never Be The Same,Camila Cabello,4eWQlBRaTjPPUlzacqEeoQ
19,2018,Love Lies,Khalid&Normani,45Egmo7icyopuzJN0oMEdk
20,2018,No Tears Left To Cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo
21,2018,Mine,Bazzi,7uzmGiiJyRfuViKKK3lVmR
22,2018,Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB
23,2018,Look Alive,BlocBoy JB FeaturingDrake,
24,2018,Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf
25,2018,Yes Indeed,Lil Baby&Drake,6vN77lE9LK6HP2DewaN6HZ
26,2018,Friends,Marshmello&Anne-Marie,1wIyr1y5wiWqo7nqbxHpWt
27,2018,Bad At Love,Halsey,3OzCF9i6Ey7EkkAYJztmKp
28,2018,Taste,TygaFeaturingOffset,
29,2018,Let You Down,NF,52okn5MNA47tk87PeZJLEL
30,2018,No Limit,G-EazyFeaturingA$AP Rocky&Cardi B,
31,2018,FEFE,6ix9ineFeaturingNicki Minaj& Murda Beatz,
32,2018,Tequila,Dan + Shay,42fw0rxRO2xbesF6mJfd4Y
33,2018,Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK
34,2018,MotorSport,"Migos,Nicki Minaj&Cardi B",4wFjTWCunQFKtukqrNijEt
35,2018,I Like Me Better,Lauv,4MagTPnkPiDuIa4P8GtW1b
36,2018,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE
37,2018,Whatever It Takes,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb
38,2018,Ric Flair Drip,Offset&Metro Boomin,7sO5G9EABYOXQKNPNiE9NR
39,2018,I Fall Apart,Post Malone,75ZvA4QfFiZvzhj2xkaWAh
40,2018,Pray For Me,The Weeknd&Kendrick Lamar,6huNf4dutXRjJyGn7f5BPS
41,2018,Back To You,Selena Gomez,4hQ6UGyWQIGJmHSo0J88JW
42,2018,Sicko Mode,Travis Scott,2xLMifQCjDGFmkHkpNLD9h
43,2018,Walk It Talk It,MigosFeaturingDrake,
44,2018,Gucci Gang,Lil Pump,43ZyHQITOjhciSUUNPVRHc
45,2018,Him & I,G-Eazy&Halsey,5k38wzpLb15YgncyWdTZE4
46,2018,In My Blood,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH
47,2018,All The Stars,Kendrick Lamar&SZA,3GCdLUSnKSMJhs4Tj6CV3s
48,2018,Stir Fry,Migos,2UVbBKQOdFAekPTRsnkzcf
49,2018,Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV
50,2018,Love.,Kendrick LamarFeaturing Zacari,
51,2018,This Is America,Childish Gambino,0b9oOr2ZgvyQu88wzixux9
52,2018,Nonstop,Drake,0TlLq3lA83rQOYtrqBqSct
53,2018,Heaven,Kane Brown,1HXy5I3HTWq8OvxCn0z7G7
54,2018,Bodak Yellow (Money Moves),Cardi B,
55,2018,Freaky Friday,Lil DickyFeaturingChris Brown,
56,2018,Gummo,6ix9ine,2HBtd9MYDd2xDVu8Zc6pwt
57,2018,Plug Walk,Rich The Kid,1ZAyjvIk9YiD76yYy0TEG6
58,2018,Wait,Maroon 5,6AvfZXpbb6r35DfF7gHPRq
59,2018,Be Careful,Cardi B,2Yl4OmDby9iitgNWZPwxkd
60,2018,Wolves,Selena GomezXMarshmello,
61,2018,Bartier Cardi,Cardi BFeaturing21 Savage,
62,2018,God Is A Woman,Ariana Grande,5OCJzvD7sykQEKHH7qAC3C
63,2018,Big Bank,"YGFeaturing2 Chainz,Big Sean&Nicki Minaj",
64,2018,Sorry Not Sorry,Demi Lovato,0yvPEnB032fojLfVluFjUv
65,2018,How Long,Charlie Puth,6wmAHw1szh5RCKSRjiXhPe
66,2018,Lights Down Low,MAX FeaturingGnash,
67,2018,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY
68,2018,One Kiss,Calvin Harris&Dua Lipa,7ef4DlsgrMEH11cDZd32M6
69,2018,Natural,Imagine Dragons,2FY7b99s15jUprqC0M5NCT
70,2018,You Make It Easy,Jason Aldean,2TXtN9MoV308Y0z1HvyTfV
71,2018,Shape Of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
72,2018,I Get The Bag,Gucci ManeFeaturingMigos,
73,2018,No Brainer,"DJ KhaledFeaturingJustin Bieber,Chance the Rapper&Quavo",
74,2018,Plain Jane,A$AP FergFeaturingNicki Minaj,
75,2018,Sky Walker,MiguelFeaturingTravis Scott,
76,2018,Marry Me,Thomas Rhett,0OWZFobGSIW9GrSlQ9C5pc
77,2018,Eastside,"Benny Blanco,Halsey&Khalid",7FGq80cy8juXBCD2nrqdWU
78,2018,Call Out My Name,The Weeknd,09mEdoA6zrmBPgTEN5qXmN
79,2018,King's Dead,"Jay Rock,Kendrick Lamar,Future&James Blake",51rXHuKN8Loc4sUlKPODgH
80,2018,Happier,Marshmello&Bastille,7BqHUALzNBTanL6OvsqmC1
81,2018,Te Bote,"Casper Magico,Nio Garcia,Darell,Nicky Jam,Ozuna&Bad Bunny",3V8UKqhEK5zBkBb6d6ub8i
82,2018,Simple,Florida Georgia Line,4L9Ds4mpD3SuYoWwFUlv16
83,2018,Lemon,N*E*R*D &Rihanna,4PpuH4mxL0rD35mOWaLoKS
84,2018,1-800-273-8255,LogicFeaturingAlessia Cara&Khalid,
85,2018,Say Something,Justin TimberlakeFeaturingChris Stapleton,
86,2018,I'm Upset,Drake,3qN5qMTKyEEmiTZD38BNTT
87,2018,Get Along,Kenny Chesney,6n6OQfBpCgzF9oEg8zhBN7
88,2018,Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL
89,2018,What Lovers Do,Maroon 5FeaturingSZA,
90,2018,X,Nicky JamxJ Balvin,
91,2018,Outside Today,YoungBoy Never Broke Again,5PIfH6BzcmH04RDmtzF0BN
92,2018,Trip,Ella Mai,6CTWathupIiDs7U4InHnDA
93,2018,Dura,Daddy Yankee,6KuqAtoeVzxAYOaMveLNpH
94,2018,Changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO
95,2018,Mercy,Brett Young,2VIPU72L6tIR4w8J8ap6Kp
96,2018,One Number Away,Luke Combs,4gB7HrYHbJVJ5RFOjxmoq4
97,2018,Powerglide,Rae Sremmurd&Juicy J,1BuZAIO8WZpavWVbbq3Lci
98,2018,IDGAF,Dua Lipa,76cy1WJvNGJTj78UqeA5zr
99,2018,Mi Gente,J Balvin&Willy WilliamFeaturing Beyonce,
100,2018,Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP
1,2019,Old Town Road,Lil Nas XFeaturingBilly Ray Cyrus,
2,2019,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone&Swae Lee,0RiRZpuVRbi7oqRdSMwhQY
3,2019,Without Me,Halsey,6FZDfxM3a3UCqtzo5pxSLZ
4,2019,Bad Guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m
5,2019,Wow.,Post Malone,7xQAfvXzm3AkraOtGPWIZg
6,2019,Happier,Marshmello&Bastille,7BqHUALzNBTanL6OvsqmC1
7,2019,7 Rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF
8,2019,Talk,Khalid,6TqXcAFInzjp0bODyvrWEq
9,2019,Sicko Mode,Travis Scott,2xLMifQCjDGFmkHkpNLD9h
10,2019,Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD
11,2019,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom
12,2019,"Thank U, Next",Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ
13,2019,Truth Hurts,Lizzo,3HWzoMvoF3TQfYg4UPszDq
14,2019,Dancing With A Stranger,Sam Smith&Normani,3xgT3xIlFGqZjYW9QlhJWp
15,2019,Senorita,Shawn Mendes&Camila Cabello,6v3KW9xbzN5yKLt9YKDYA2
16,2019,I Don't Care,Ed Sheeran&Justin Bieber,6hvRoJ0BTZywxu8UCPBkzx
17,2019,Eastside,"Benny Blanco,Halsey&Khalid",7FGq80cy8juXBCD2nrqdWU
18,2019,Going Bad,Meek MillFeaturingDrake,
19,2019,Shallow,Lady Gaga&Bradley Cooper,2VxeLyX666F8uXCJ0dZF8B
20,2019,Better,Khalid,2OpBganfGk2GVdSlRdxzaX
21,2019,No Guidance,Chris BrownFeaturingDrake,
22,2019,Girls Like You,Maroon 5FeaturingCardi B,
23,2019,Sweet But Psycho,Ava Max,7DnAm9FOTWE3cUvso43HhI
24,2019,Suge,DaBaby,2gwkD6igEhQbDQegRCcdoB
25,2019,Middle Child,J. Cole,2JvzF1RMd7lE3KmFlsyZD8
26,2019,Drip Too Hard,Lil Baby&Gunna,78QR3Wp35dqAhFEc2qAGjE
27,2019,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf
28,2019,Ran$om,Lil Tecca,
29,2019,If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh
30,2019,Goodbyes,Post MaloneFeaturingYoung Thug,
31,2019,ZEZE,Kodak BlackFeaturingTravis Scott&Offset,
32,2019,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK
33,2019,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE
34,2019,Money In The Grave,DrakeFeaturingRick Ross,
35,2019,Speechless,Dan + Shay,3GJ4hzg4lrGwU51Y3VARbF
36,2019,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS
37,2019,Please Me,Cardi B&Bruno Mars,0PG9fbaaHFHfre2gUVo7AN
38,2019,Money,Cardi B,2GGMabyHXnJmjY6CXhhB2e
39,2019,You Need To Calm Down,Taylor Swift,6RRNNciQGZEXnqk8SQ9yv5
40,2019,Panini,Lil Nas X,6fTt0CH2t0mdeB2N9XFG5r
41,2019,Look Back At It,A Boogie wit da Hoodie,3Ol2xnObFdKV9pmRD2t9x8
42,2019,A Lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d
43,2019,ME!,Taylor SwiftFeaturingBrendon Urie,
44,2019,MIA,Bad BunnyFeaturingDrake,
45,2019,Pop Out,Polo GFeaturingLil Tjay,
46,2019,Beautiful Crazy,Luke Combs,2rxQMGVafnNaRaXlRMWPde
47,2019,Thotiana,Blueface,1rBjexQsgqXpsS2BrCxaDX
48,2019,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR
49,2019,Mo Bamba,Sheck Wes,1xzBco0xcoJEDXktl7Jxrr
50,2019,Beautiful People,Ed SheeranFeaturingKhalid,
51,2019,Wake Up In The Sky,Gucci ManeXBruno MarsXKodak Black,
52,2019,Whiskey Glasses,Morgan Wallen,57TEkZN3f84tFJFHFrD4pO
53,2019,God's Country,Blake Shelton,4TCeFZNjGNQIpCuZmJkkE2
54,2019,Be Alright,Dean Lewis,5qrSlOut2rNAWv3ubArkNy
55,2019,Pure Water,Mustard&Migos,3j84U36KvLeXNDPv4t5pI8
56,2019,The Git Up,Blanco Brown,01tA4XmJ4fGQNwti6b2hPm
57,2019,Taki Taki,"DJ SnakeFeaturingSelena Gomez,Ozuna&Cardi B",
58,2019,Close To Me,Ellie GouldingXDiploFeaturingSwae Lee,
59,2019,Envy Me,Calboy,7rvyVWja33WG9R97oeJAjx
60,2019,You Say,Lauren Daigle,6Up545NUflOiXo8cEraH49
61,2019,"Hey Look Ma, I Made It",Panic! At The Disco,22oEJW6r2rMb9z4IntfyEa
62,2019,Circles,Post Malone,21jGcNKet2qwijlDFuPiPb
63,2019,Beer Never Broke My Heart,Luke Combs,7aEtlGHoiPAfRB084NiDmx
64,2019,The London,"Young Thug,J. Cole&Travis Scott",3s4mrPrEFFPF0LmAfutW0n
65,2019,Con Calma,Daddy Yankee&Katy PerryFeaturingSnow,
66,2019,Murder On My Mind,YNW Melly,7eBqSVxrzQZtK2mmgRG6lC
67,2019,When The Party's Over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I
68,2019,Act Up,City Girls,3A2yGHWIzmGEIolwonU69h
69,2019,I Like It,"Cardi B,Bad Bunny&J Balvin",58q2HKrzhC3ozto2nDdN4z
70,2019,Trampoline,SHAED,6AFAey1TrtgGNkgCMTEVCq
71,2019,Leave Me Alone,Flipp Dinero,6V7g6qM8wheMivMWrzbPTM
72,2019,Breathin,Ariana Grande,4OafepJy2teCjYJbvFE60J
73,2019,Bury A Friend,Billie Eilish,4SSnFejRGlZikf02HLewEF
74,2019,Close Friends,Lil Baby,5nzhL67GpF9szXWg5y509A
75,2019,Baby Shark,Pinkfong,5ygDXis42ncn6kYG14lEVG
76,2019,My Type,Saweetie,5KBARWIxeMGkvUax9VtVC9
77,2019,Worth It,YK Osiris,0PQoUlzP7ILdcrzpajHXc0
78,2019,Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk
79,2019,Knockin' Boots,Luke Bryan,2opQESZb7JsRKCvWMBPeuv
80,2019,Trip,Ella Mai,6CTWathupIiDs7U4InHnDA
81,2019,Rumor,Lee Brice,56eGOeSsqdg3FLxdo83TwV
82,2019,Swervin,A Boogie wit da HoodieFeaturing6ix9ine,
83,2019,How Do You Sleep?,Sam Smith,34pRqzRiFcIuyRMuuEayzY
84,2019,Baby,Lil Baby&DaBaby,5MPPttjfGap2C6j6eKcO6J
85,2019,Look What God Gave Her,Thomas Rhett,2KqJC0koTBUyDlsMt5ok1V
86,2019,Good As You,Kane Brown,19kUPdKTp85q9RZNwaXM15
87,2019,Clout,OffsetFeaturingCardi B,
88,2019,Love Lies,Khalid&Normani,45Egmo7icyopuzJN0oMEdk
89,2019,One Thing Right,Marshmello&Kane Brown,7gZXCjAy6nxKCQWLEeX4LZ
90,2019,Cash Shit,Megan Thee StallionFeaturingDaBaby,
91,2019,Tequila,Dan + Shay,42fw0rxRO2xbesF6mJfd4Y
92,2019,Shotta Flow,NLE Choppa,5OFlp1fOrfiSXOjw4wuSgy
93,2019,Hot Girl Summer,"Megan Thee Stallion,Nicki Minaj&Ty Dolla $ign",5N1o6d8zGcSZSeMFkOUQOk
94,2019,Talk You Out Of It,Florida Georgia Line,4qQwGRtGT7l6ckQtdPEFd4
95,2019,Beautiful,Bazzi FeaturingCamila Cabello,
96,2019,Eyes On You,Chase Rice,4w95iGC6NrxZJ5o3D7bWyV
97,2019,All To Myself,Dan + Shay,08tq1XcHwVt5PHXUo87i0D
98,2019,Boyfriend,Ariana Grande& Social House,0Ryd8975WihbObpp5cPW1t
99,2019,Walk Me Home,P!nk,7DHApOHsIFo7EyfieArYGE
100,2019,Robbery,Juice WRLD,6iaSML1PIYq936g62BDtBq
1,2020,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b
2,2020,Circles,Post Malone,21jGcNKet2qwijlDFuPiPb
3,2020,The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I
4,2020,Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62
5,2020,Rockstar,DaBabyFeaturingRoddy Ricch,
